,Cluster,Antibody
337,2,XGv-289
338,2,XGv-290
339,2,XGv-291
340,2,XGv-292
341,2,XGv-293
342,2,XGv-294
343,2,XGv-295
344,2,XGv-296
345,2,XGv-345
346,2,XGv-420
347,3,ADG-2
348,3,BD-899
349,3,BD55-1091
350,3,BD55-1096
351,3,BD55-1239
352,3,BD55-1343
353,3,BD55-199
354,3,BD55-3304
355,3,BD55-3500
356,3,BD55-4483
357,3,BD55-5164
358,3,BD55-5166
359,3,BD55-5167
360,3,BD55-5189
361,3,BD55-5223
362,3,BD55-5238
363,3,BD55-5239
364,3,BD55-5242
365,3,BD55-5245
366,3,BD55-5265
367,3,BD55-5267
368,3,BD55-5276
369,3,BD55-5301
370,3,BD55-5305
371,3,BD55-5323
372,3,BD55-5327
373,3,BD55-5384
374,3,BD55-5427
375,3,BD55-5432
376,3,BD55-5468
377,3,BD55-5474
378,3,BD55-5516
379,3,BD55-5521
380,3,BD55-5537
381,3,BD55-5564
382,3,BD55-5594
383,3,BD55-5620
384,3,BD55-5638
385,3,BD55-5640
386,3,BD55-5662
387,3,BD55-5675
388,3,BD55-5676
389,3,BD55-5690
390,3,BD55-5699
391,3,BD55-5700
392,3,BD55-5713
393,3,BD55-5715
394,3,BD55-5736
395,3,BD55-5737
396,3,BD55-5874
397,3,BD55-5878
398,3,BD55-5935
399,3,BD55-5940
400,3,BD55-5959
401,3,BD55-6014
402,3,BD55-6015
403,3,BD55-6019
404,3,BD55-6025
405,3,BD55-6033
406,3,BD55-6051
407,3,BD55-6063
408,3,BD55-6064
409,3,BD55-6068
410,3,BD55-6069
411,3,BD55-6080
412,3,BD55-6086
413,3,BD55-6087
414,3,BD55-6088
415,3,BD55-6105
416,3,BD55-6106
417,3,BD55-6112
418,3,BD55-6197
419,3,BD55-6231
420,3,BD55-6243
421,3,BD55-6262
422,3,BD55-6263
423,3,BD55-6268
424,3,BD55-6283
425,3,BD55-6297
426,3,BD55-6305
427,3,BD55-6306
428,3,BD55-6308
429,3,BD55-6339
430,3,BD55-6340
431,3,BD55-6347
432,3,BD55-6379
433,3,BD55-6447
434,3,BD55-6455
435,3,BD55-6466
436,3,BD55-6486
437,3,BD55-6492
438,3,BD55-6502
439,3,BD55-6507
440,3,BD55-6510
441,3,BD55-6520
442,3,BD55-6552
443,3,BD55-6564
444,3,BD55-6623
445,3,BD55-6638
446,3,BD55-6642
447,3,BD55-6687
448,3,BD55-6697
449,3,BD55-6727
450,3,BD56-003
451,3,BD56-008
452,3,BD56-020
453,3,BD56-1823
454,3,BD56-1924
455,3,BD56-300
456,3,BD56-425
457,3,BD56-603
458,3,COV2-2015
459,3,COV2-2514
460,3,WIBP-2B11
461,3,XGv-057
462,3,XGv-105
463,3,XGv-360
464,3,XGv-416
465,4,BD-566
466,4,BD-623
467,4,BD-771
468,4,BD-805
469,4,BD-807
470,4,BD-833
471,4,BD-836
472,4,BD-837
