Unnamed: 0,UMAP Dimension 1,UMAP Dimension 2,antibody,Cluster
248,2.502647,0.2651205,BD55-5242,6
249,3.1180851,0.8469381,BD55-5245,6
250,7.8459773,9.651207,BD55-5248,2
251,11.190108,13.197492,BD55-5251,0
252,5.704966,3.682529,BD55-5256,5
253,8.171811,10.698051,BD55-5259,2
254,3.261146,1.3136793,BD55-5264,6
255,0.648552,0.16192208,BD55-5265,6
256,1.0750853,0.23179105,BD55-5267,6
257,0.18461443,0.18119557,BD55-5276,6
258,5.266609,3.707147,BD55-5286,5
259,5.275222,3.2371764,BD55-5296,5
260,1.7005304,0.24454796,BD55-5301,6
261,6.5170035,6.0718136,BD55-5303,5
262,5.109241,3.1931643,BD55-5304,5
263,1.7540059,0.25882676,BD55-5305,6
264,5.2766075,5.475497,BD55-5319,5
265,-2.326913,1.0572062,BD55-5323,1
266,6.788104,4.2766347,BD55-5325,5
267,0.28785598,0.15151003,BD55-5327,6
268,-2.87408,3.361137,BD55-5333,1
269,-2.4281418,0.9526967,BD55-5339,1
270,-3.34609,3.1081207,BD55-5342,1
271,3.66082,3.0273626,BD55-5343,5
272,6.893534,4.201474,BD55-5354,5
273,5.3784375,3.7413898,BD55-5358,5
274,2.915622,1.0922905,BD55-5380,6
275,7.6076922,6.7323623,BD55-5382,2
276,1.2706051,0.23495817,BD55-5384,6
277,-3.3146214,2.606205,BD55-5386,1
278,-4.0141463,1.9769633,BD55-5396,1
279,3.6355336,2.9029346,BD55-5397,5
280,7.9766464,8.8630295,BD55-5399,2
281,13.672412,16.067568,BD55-5402,0
282,6.4257827,3.8923652,BD55-5404,5
283,7.910241,9.687541,BD55-5408,2
284,8.878252,11.337078,BD55-5413,2
285,6.553637,3.9718382,BD55-5415,5
286,-2.882756,3.357294,BD55-5416,1
287,2.223971,0.33636636,BD55-5427,6
288,6.48977,3.7081842,BD55-5431,5
289,-2.222177,1.1568434,BD55-5432,1
290,13.534949,15.856943,BD55-5435,0
291,-6.9324007,3.539106,BD55-5448,7
292,5.0835056,5.334881,BD55-5449,5
293,8.098096,10.587888,BD55-5459,2
294,13.632426,16.017975,BD55-5462,0
295,-6.485899,3.1754625,BD55-5466,7
296,9.381327,12.454612,BD55-5467,0
297,-3.2828946,1.4066398,BD55-5468,1
298,9.352364,12.415069,BD55-547,0
299,6.278069,6.005878,BD55-5473,5
300,0.98987794,0.19821672,BD55-5474,6
301,-2.9772494,2.5465853,BD55-5477,1
302,4.477523,4.5856223,BD55-5484,5
303,8.62132,10.538929,BD55-5486,2
304,-2.8754716,2.190192,BD55-5501,1
305,-2.8870807,3.3651323,BD55-5512,1
306,2.7551622,0.082391486,BD55-5516,6
307,10.253288,8.955875,BD55-5517,2
308,2.1016684,0.4877221,BD55-5521,6
309,6.6044564,3.790133,BD55-5526,5
310,3.1788607,1.0892934,BD55-5537,6
311,6.359928,3.8753963,BD55-5540,5
312,-3.671636,2.6822443,BD55-5542,1
313,-3.6344006,2.7384477,BD55-5543,1
314,7.2313128,6.533678,BD55-5549,2
315,8.608495,10.2444725,BD55-5557,2
316,11.825404,-3.981886,BD55-556,3
317,-2.8032584,1.5671824,BD55-5564,1
318,8.172213,10.647512,BD55-5565,2
319,13.659518,16.059486,BD55-5566,0
320,5.120418,3.7816408,BD55-5580,5
321,2.8611205,7.2398763,BD55-5583,5
322,5.0061774,5.2533646,BD55-5585,5
323,5.313358,3.513716,BD55-5588,5
324,6.330521,6.0017557,BD55-5591,5
325,-3.5946553,2.7607296,BD55-5593,1
326,1.0974715,0.22414361,BD55-5594,6
327,-6.764619,2.9070787,BD55-5598,7
328,-1.2934872,9.177281,BD55-5599,4
329,-2.890222,2.2280686,BD55-5612,1
330,-1.3053635,1.0929525,BD55-5615,1
331,1.6066861,0.22860132,BD55-5620,6
332,12.365123,14.002811,BD55-5625,0
333,10.2637005,13.294864,BD55-5629,0
334,-7.1306963,3.1323178,BD55-5631,7
335,-6.7405505,8.802088,BD55-5634,8
336,1.7571554,0.25119388,BD55-5638,6
337,2.7461438,0.0923449,BD55-5640,6
338,-1.7806851,1.5437746,BD55-5643,1
339,-2.848507,2.0937333,BD55-5644,1
340,7.970071,8.989489,BD55-5649,2
341,4.3652506,2.953236,BD55-5655,5
342,-6.7237844,4.8402805,BD55-5659,7
343,-2.4839795,1.0088339,BD55-5662,1
344,2.2188697,0.33251667,BD55-5675,6
345,-2.8541927,2.1859767,BD55-5676,1
346,-6.6773767,2.6393712,BD55-5689,7
347,-0.13399442,0.27764663,BD55-5690,6
348,-2.7530897,8.046475,BD55-5693,4
349,9.784358,12.919166,BD55-5694,0
350,6.4983015,6.078904,BD55-5697,5
351,1.7383101,0.24493028,BD55-5699,6
352,3.2624173,0.99536353,BD55-5700,6
353,0.08508874,0.20797867,BD55-5713,6
354,-0.72625536,0.39698756,BD55-5715,6
355,8.375454,10.392742,BD55-5718,2
356,1.4341835,10.217879,BD55-5721,9
357,-3.449068,2.997659,BD55-5728,1
358,13.3658085,15.092323,BD55-5731,0
359,6.4640093,3.7364016,BD55-5733,5
360,1.1717284,0.22519054,BD55-5736,6
361,0.08397434,0.20799379,BD55-5737,6
362,6.38865,3.9409149,BD55-5743,5
363,7.980725,8.9412155,BD55-5745,2
364,-4.0224085,7.9379954,BD55-5747,4
365,8.721512,11.083507,BD55-5748,2
366,7.966517,9.732481,BD55-5752,2
367,0.58156145,0.27530673,BD55-5761,6
368,4.2261896,3.7417047,BD55-5771,5
369,10.056392,-3.5059645,BD55-5774,3
370,-2.9670649,2.4736652,BD55-5775,1
371,6.293962,5.964913,BD55-5779,5
372,-3.2153049,3.1968973,BD55-5785,1
373,12.255068,14.316015,BD55-5790,0
374,6.33036,3.8285418,BD55-5792,5
375,-1.5743072,1.2937304,BD55-5811,1
376,11.716085,13.912115,BD55-5815,0
377,-4.065345,7.2177477,BD55-5831,4
378,3.5299191,11.372669,BD55-5836,9
379,-3.418786,7.9364614,BD55-5854,4
380,-2.8503335,9.00995,BD55-5856,4
381,7.987504,9.560522,BD55-5865,2
382,13.577073,-4.5028586,BD55-5866,3
383,-2.3382149,0.8730181,BD55-5874,1
384,3.1872215,1.0338863,BD55-5878,6
385,10.611887,12.121315,BD55-5880,0
386,3.893188,3.090966,BD55-5882,5
387,10.111025,-3.521515,BD55-5887,3
388,10.323737,13.382539,BD55-5892,0
389,8.761016,11.205382,BD55-5895,2
390,-7.0785365,4.118637,BD55-5897,7
391,9.501384,12.561572,BD55-5898,0
392,-5.081519,8.568803,BD55-5901,8
393,-6.725501,4.80432,BD55-5903,7
394,0.9925456,11.603058,BD55-5904,9
395,4.149076,3.7128644,BD55-5906,5
396,-6.634898,8.91575,BD55-5908,8
397,1.9425739,11.006547,BD55-5909,9
398,9.306526,-3.2327795,BD55-5912,3
399,4.339887,2.987556,BD55-5917,5
400,-7.0763073,8.499026,BD55-5918,8
401,3.2586339,1.2925274,BD55-5919,6
402,0.16854408,12.490346,BD55-5920,9
403,0.25695452,12.3885145,BD55-5921,9
404,10.943077,12.8671665,BD55-5923,0
405,-3.4194393,7.9625077,BD55-5925,4
406,6.858925,4.6217475,BD55-5927,5
407,11.287595,13.758565,BD55-593,0
408,0.12460926,12.532805,BD55-5930,9
409,-2.9326284,2.5123231,BD55-5933,1
410,-2.6198997,1.1255513,BD55-5935,1
411,0.95454204,11.607032,BD55-5939,9
412,-3.3301902,1.4154751,BD55-5940,1
413,0.41239253,12.2062645,BD55-5941,9
414,5.5687056,3.674838,BD55-5942,5
415,-1.366872,9.1321125,BD55-5943,4
416,-2.937743,2.5034423,BD55-5945,1
417,3.5841382,8.440142,BD55-5946,9
418,-5.6044993,8.782201,BD55-5948,8
419,-7.226328,7.3808722,BD55-5950,8
420,3.851066,3.1840756,BD55-5955,5
421,4.324707,2.9441705,BD55-5957,5
422,0.5177568,0.18853523,BD55-5959,6
423,1.8363163,11.142554,BD55-5962,9
424,-4.084781,1.8960806,BD55-5966,1
425,0.25837418,12.387092,BD55-5967,9
426,-6.5331626,2.7563915,BD55-5974,7
427,-7.3803096,3.2281733,BD55-600,7
428,5.349589,3.2879982,BD55-6012,5
429,8.804496,11.2227955,BD55-6013,2
430,3.243548,1.0159314,BD55-6014,6
431,0.041993454,0.22189257,BD55-6015,6
432,-0.29406786,0.32007217,BD55-6019,6
433,1.2528464,0.23226465,BD55-6025,6
434,11.319226,13.941357,BD55-603,0
435,12.189424,14.287836,BD55-6030,0
436,1.8897735,0.2776051,BD55-6033,6
437,11.415453,13.959175,BD55-6038,0
438,8.933448,11.464348,BD55-6039,2
439,7.7435102,9.436209,BD55-6040,2
440,8.343171,10.841864,BD55-6044,2
441,12.271262,14.325673,BD55-6050,0
442,-2.4652522,1.0546432,BD55-6051,1
443,2.0761924,10.976805,BD55-606,9
444,11.375078,13.970885,BD55-6060,0
445,0.10229109,0.2011733,BD55-6063,6
446,2.7763457,0.07025519,BD55-6064,6
447,-2.3953867,0.90757436,BD55-6066,1
448,-0.14906041,0.28389484,BD55-6068,6
449,1.8184336,0.27408266,BD55-6069,6
450,12.103679,14.218593,BD55-6074,0
451,10.842699,12.931537,BD55-6075,0
452,3.2341821,1.00336,BD55-6080,6
453,3.852023,2.5426083,BD55-6083,5
454,-2.4024575,0.88957494,BD55-6086,1
455,0.30898592,0.18989086,BD55-6087,6
456,-0.07084096,0.2646729,BD55-6088,6
457,5.9836555,3.762138,BD55-6090,5
458,5.3823285,3.2718482,BD55-6092,5
459,-3.0759585,9.002867,BD55-6096,4
460,-3.5637963,2.8681216,BD55-6099,1
461,3.2034848,1.0258913,BD55-6105,6
462,0.973888,0.21752776,BD55-6106,6
463,-2.3491251,1.0869195,BD55-6112,1
464,7.7027197,9.256526,BD55-6130,2
465,8.188189,10.56449,BD55-6158,2
466,4.253378,11.990712,BD55-616,9
467,8.371125,10.829587,BD55-6190,2
468,5.7733455,3.7129195,BD55-6195,5
469,3.2410085,0.96077704,BD55-6197,6
470,5.586478,3.721968,BD55-6203,5
471,5.2557917,3.2810237,BD55-6206,5
472,7.727392,9.202483,BD55-6208,2
473,11.628705,14.069064,BD55-6223,0
474,1.6948845,0.24638398,BD55-6231,6
475,-2.4735563,0.9923363,BD55-6236,1
476,-3.9961753,7.4281116,BD55-6241,4
477,-0.7141712,0.39675868,BD55-6243,6
478,6.8873625,4.096733,BD55-6247,5
479,-3.520629,2.109968,BD55-6251,1
480,6.7958317,4.0583553,BD55-6261,5
481,1.0257398,0.2148777,BD55-6262,6
482,3.2481124,1.2810366,BD55-6263,6
483,2.3681824,0.29263574,BD55-6268,6
484,-0.24090129,0.36486188,BD55-6272,6
485,8.765727,11.260954,BD55-6276,2
486,10.936767,12.289342,BD55-6279,0
487,6.822505,4.1959734,BD55-6281,5
488,2.5819902,0.26349974,BD55-6283,6
489,9.600518,12.617886,BD55-6284,0
490,8.750513,11.230819,BD55-6286,2
491,9.420778,12.459514,BD55-6291,0
492,3.203404,1.070409,BD55-6297,6
493,9.147998,12.055139,BD55-6301,0
494,-0.6373401,0.33974427,BD55-6305,6
495,-0.07316266,0.25510234,BD55-6306,6
496,8.772435,11.052253,BD55-6307,2
497,0.03983346,0.21092737,BD55-6308,6
498,7.9863973,9.867943,BD55-6314,2
499,8.337035,10.902488,BD55-6329,2
500,3.6376657,3.0930111,BD55-6335,5
501,11.44071,13.987503,BD55-6336,0
502,-0.66278833,0.35259452,BD55-6339,6
503,-2.5433388,1.0547925,BD55-6340,1
504,9.015677,12.046556,BD55-6342,0
505,-2.592059,1.1388017,BD55-6347,1
506,12.505856,14.374823,BD55-6355,0
507,6.848397,4.0336685,BD55-6361,5
508,7.579415,8.565856,BD55-6369,2
509,7.9659963,9.813869,BD55-6370,2
510,9.91162,12.612386,BD55-6372,0
511,-2.8585215,2.2642684,BD55-6373,1
512,10.484608,12.84046,BD55-6374,0
513,2.1194615,0.32638758,BD55-6379,6
514,3.1976237,6.731002,BD55-6382,5
515,3.9456928,3.027295,BD55-6383,5
516,0.9483525,11.649322,BD55-6385,9
517,-6.7532864,8.8188095,BD55-6386,8
518,-7.311623,7.163104,BD55-6387,8
519,13.373421,-4.3576603,BD55-6388,3
520,13.678013,16.073132,BD55-6389,0
521,13.087252,-4.204022,BD55-6390,3
522,8.635044,8.124193,BD55-6391,2
523,6.584654,3.6950758,BD55-6392,5
524,-6.879391,2.6411436,BD55-6393,7
525,7.705853,8.652087,BD55-6405,2
526,13.3281765,15.152087,BD55-6406,0
527,12.098682,14.242774,BD55-6408,0
528,3.6708276,3.0248415,BD55-6411,5
529,-3.490332,1.4985281,BD55-6413,1
530,8.214352,10.332086,BD55-6426,2
531,-2.932398,2.6668093,BD55-6431,1
532,9.592339,12.645245,BD55-6432,0
533,4.8745623,3.201031,BD55-6445,5
534,1.6516267,0.2735626,BD55-6447,6
535,6.9193964,4.2778454,BD55-6448,5
536,8.984812,11.893617,BD55-6454,0
537,-3.3929021,1.448255,BD55-6455,1
538,6.861095,4.813378,BD55-6456,5
539,3.61766,2.9171875,BD55-6459,5
540,8.204415,10.739402,BD55-6460,2
541,6.871758,4.24107,BD55-6461,5
542,3.2099202,1.0317276,BD55-6466,6
543,-7.1885223,7.4813094,BD55-6467,8
544,-3.2982006,3.1558733,BD55-6468,1
545,6.5926123,3.8085682,BD55-6477,5
546,3.6825788,2.8202617,BD55-6478,5
547,10.063149,9.038013,BD55-6480,2
548,8.148631,10.673456,BD55-6482,2
549,1.9274597,0.33184052,BD55-6486,6
550,-0.74431217,0.40588322,BD55-6492,6
551,13.407764,15.226935,BD55-6494,0
552,-3.3525367,1.4328619,BD55-6502,1
553,2.4205503,0.28250343,BD55-6507,6
554,3.2127044,0.9939384,BD55-6510,6
555,7.6734715,9.164464,BD55-6512,2
556,6.3252597,3.8632503,BD55-6514,5
557,-0.124235414,0.27985853,BD55-6520,6
558,-2.8796012,9.01329,BD55-6526,4
559,3.0594528,7.497847,BD55-6531,5
560,6.211425,3.8487265,BD55-6537,5
561,7.94761,9.751507,BD55-6543,2
562,6.8164806,4.0168867,BD55-6550,5
563,-2.35195,1.0458997,BD55-6552,1
564,2.224055,0.36792108,BD55-6564,6
565,8.206469,10.520722,BD55-6577,2
566,-6.57893,3.4808295,BD55-6579,7
567,8.176351,10.55651,BD55-6586,2
568,13.299337,15.227855,BD55-6597,0
569,13.190218,15.002534,BD55-6614,0
570,-1.3097949,9.167388,BD55-6619,4
571,2.7342925,0.10217469,BD55-6623,6
572,-3.599229,2.5379472,BD55-6626,1
573,-3.3275964,1.4182104,BD55-6638,1
574,6.828631,4.8775406,BD55-6641,5
575,3.2383213,0.9755479,BD55-6642,6
576,-2.941191,2.5850346,BD55-6644,1
577,5.371915,3.3166218,BD55-6647,5
578,10.186264,13.260975,BD55-6648,0
579,6.7416162,4.164659,BD55-6651,5
580,7.708533,9.395795,BD55-6654,2
581,-2.8645782,3.3673193,BD55-6667,1
582,11.041771,13.046306,BD55-6668,0
583,-7.0757093,4.1466465,BD55-6671,7
584,-3.0491748,2.6095421,BD55-6677,1
585,7.8926587,9.644542,BD55-6678,2
586,8.19261,10.537273,BD55-6682,2
587,12.315578,14.370433,BD55-6684,0
588,2.4059317,0.280225,BD55-6687,6
589,-3.2056756,2.6986384,BD55-6689,1
590,11.533018,13.897439,BD55-6691,0
591,2.1228724,0.30980372,BD55-6697,6
592,10.087859,13.202799,BD55-6709,0
593,-3.4231899,3.0901744,BD55-6714,1
594,13.4718,15.440425,BD55-6718,0
595,0.6123273,0.1725678,BD55-6727,6
596,3.7899523,2.4078667,BD55-682,6
597,10.16884,13.197547,BD55-711,0
598,-7.3554993,3.1126945,BD55-75,7
599,-3.8939478,7.868344,BD55-81,4
600,2.063237,10.997423,BD55-818,9
601,-1.1578008,9.255652,BD55-824,4
602,2.819665,7.1967587,BD55-829,5
603,-6.9063954,4.483425,BD55-833,7
604,-2.6341906,8.964703,BD55-837,4
605,-2.4959524,8.173755,BD55-847,4
606,0.3070626,12.315567,BD55-852,9
607,3.1180356,6.996505,BD55-853,5
608,3.9200969,2.989357,BD55-854,5
609,-6.8784585,4.5308456,BD55-856,7
610,3.2404997,7.3748546,BD55-859,5
611,0.79075176,11.807855,BD55-862,9
612,1.7709584,11.153995,BD55-864,9
613,0.114009134,10.136996,BD55-870,9
614,-3.004559,9.002909,BD55-871,4
615,-1.1335665,9.279024,BD55-878,4
616,-7.2774334,3.5876808,BD55-879,7
617,5.2821846,7.1540117,BD55-880,5
618,2.0373106,10.9775305,BD55-887,9
619,-4.236143,1.9881152,BD55-892,1
