study,antibody,virus,IC50
imprinted_2022,DH1042,BA.2.75,10.0
imprinted_2022,DH1179,BA.2.75,10.0
imprinted_2022,DH1184,BA.2.75,10.0
imprinted_2022,DH1186,BA.2.75,10.0
imprinted_2022,DH1044,BA.2.75,0.0819
imprinted_2022,DH1126,BA.2.75,10.0
imprinted_2022,S2H13,BA.2.75,10.0
imprinted_2022,DH1161-1,BA.2.75,10.0
imprinted_2022,DH1173,BA.2.75,10.0
imprinted_2022,DH1154,BA.2.75,10.0
imprinted_2022,DH1151,BA.2.75,0.579
imprinted_2022,DH1160,BA.2.75,10.0
imprinted_2022,DH1140,BA.2.75,10.0
imprinted_2022,DH1210,BA.2.75,10.0
imprinted_2022,S2E12,BA.2.75,0.0066
imprinted_2022,DH1045,BA.2.75,10.0
imprinted_2022,DH1180,BA.2.75,10.0
imprinted_2022,DH1183,BA.2.75,10.0
imprinted_2022,DH1128,BA.2.75,10.0
imprinted_2022,DH1129,BA.2.75,10.0
imprinted_2022,DH1155,BA.2.75,10.0
imprinted_2022,DH1193,BA.2.75,2.54
imprinted_2022,DH1111,BA.2.75,10.0
imprinted_2022,DH1161-2,BA.2.75,10.0
imprinted_2022,S2A4,BA.2.75,10.0
imprinted_2022,DH1130,BA.2.75,10.0
imprinted_2022,DH1063,BA.2.75,10.0
imprinted_2022,DH1082,BA.2.75,10.0
imprinted_2022,DH1159-2,BA.2.75,10.0
imprinted_2022,DH1196,BA.2.75,10.0
imprinted_2022,P4A1,BA.2.75,10.0
imprinted_2022,DH1214,BA.2.75,10.0
imprinted_2022,TAU-1115,BA.2.75,10.0
imprinted_2022,TAU-2189,BA.2.75,10.0
imprinted_2022,TAU-2230,BA.2.75,10.0
imprinted_2022,BRII-196,BA.2.75,1.73
imprinted_2022,CV07-200,BA.2.75,10.0
imprinted_2022,CV07-209,BA.2.75,10.0
imprinted_2022,CV07-222,BA.2.75,10.0
imprinted_2022,CV07-255,BA.2.75,10.0
imprinted_2022,CV07-262,BA.2.75,10.0
imprinted_2022,P2C-1A3,BA.2.75,10.0
imprinted_2022,CV07-283,BA.2.75,10.0
imprinted_2022,CV07-287,BA.2.75,10.0
imprinted_2022,CV07-315,BA.2.75,10.0
imprinted_2022,CV-X2-106,BA.2.75,10.0
imprinted_2022,COV2-3025,BA.2.75,0.0066
imprinted_2022,COV2-2046,BA.2.75,0.003
imprinted_2022,COV2-2098,BA.2.75,10.0
imprinted_2022,COV2-2504,BA.2.75,10.0
imprinted_2022,COV2-2308,BA.2.75,0.0117
imprinted_2022,COV2-2391,BA.2.75,10.0
imprinted_2022,COV2-2113,BA.2.75,10.0
imprinted_2022,COV2-2064,BA.2.75,10.0
imprinted_2022,COV2-2684,BA.2.75,10.0
imprinted_2022,COV2-2072,BA.2.75,0.00213
imprinted_2022,COV2-2539,BA.2.75,10.0
imprinted_2022,COV2-2389,BA.2.75,10.0
imprinted_2022,COV2-2413,BA.2.75,10.0
imprinted_2022,COV2-2381,BA.2.75,0.0244
imprinted_2022,COV2-2628,BA.2.75,10.0
imprinted_2022,COV2-2353,BA.2.75,10.0
imprinted_2022,LY-CoV488,BA.2.75,10.0
imprinted_2022,COV2-2589,BA.2.75,10.0
imprinted_2022,COV2-2693,BA.2.75,10.0
imprinted_2022,COV2-2919,BA.2.75,10.0
imprinted_2022,COV2-2780,BA.2.75,10.0
imprinted_2022,COV2-2941,BA.2.75,10.0
imprinted_2022,COV2-2479,BA.2.75,10.0
imprinted_2022,LY-CoV481,BA.2.75,10.0
imprinted_2022,COV2-2955,BA.2.75,10.0
imprinted_2022,COV2-2499,BA.2.75,10.0
imprinted_2022,COV2-2268,BA.2.75,10.0
imprinted_2022,COV2-2760,BA.2.75,10.0
imprinted_2022,COV2-2807,BA.2.75,10.0
imprinted_2022,H4,BA.2.75,10.0
imprinted_2022,COV2-2734,BA.2.75,10.0
imprinted_2022,COV2-2848,BA.2.75,10.0
imprinted_2022,COV2-2678,BA.2.75,10.0
imprinted_2022,COV2-2514,BA.2.75,10.0
imprinted_2022,COV2-2828,BA.2.75,10.0
imprinted_2022,EY6A,BA.2.75,10.0
imprinted_2022,DH1041,BA.2.75,10.0
imprinted_2022,CV30,BA.2.75,10.0
imprinted_2022,CV07-270,BA.2.75,10.0
imprinted_2022,COVOX-75,BA.2.75,10.0
imprinted_2022,COVOX-45,BA.2.75,10.0
imprinted_2022,COVOX-384,BA.2.75,10.0
imprinted_2022,COVOX-316,BA.2.75,10.0
imprinted_2022,COVOX-253H55L,BA.2.75,10.0
imprinted_2022,COVOX-253H165L,BA.2.75,10.0
imprinted_2022,COVA2-39,BA.2.75,10.0
imprinted_2022,COVA2-04,BA.2.75,10.0
imprinted_2022,COVA1-16,BA.2.75,10.0
imprinted_2022,CC12.3,BA.2.75,10.0
imprinted_2022,CC12.1,BA.2.75,10.0
imprinted_2022,LY-CoV016,BA.2.75,10.0
imprinted_2022,C1A-F10,BA.2.75,10.0
imprinted_2022,C1A-C2,BA.2.75,10.0
imprinted_2022,C1A-B3,BA.2.75,10.0
imprinted_2022,C1A-B12,BA.2.75,10.0
imprinted_2022,C144,BA.2.75,10.0
imprinted_2022,C121,BA.2.75,10.0
imprinted_2022,C119,BA.2.75,10.0
imprinted_2022,C110,BA.2.75,10.0
imprinted_2022,C105,BA.2.75,10.0
imprinted_2022,C102,BA.2.75,10.0
imprinted_2022,C002,BA.2.75,10.0
imprinted_2022,P2B-2F6,BA.2.75,10.0
imprinted_2022,BG1-24,BA.2.75,10.0
imprinted_2022,B38,BA.2.75,10.0
imprinted_2022,7D6,BA.2.75,10.0
imprinted_2022,2-15,BA.2.75,10.0
imprinted_2022,1-57,BA.2.75,10.0
imprinted_2022,BD55-1009,BA.2.75,0.422
imprinted_2022,BD55-1027,BA.2.75,3.87
imprinted_2022,BD55-1028,BA.2.75,10.0
imprinted_2022,BD55-1029,BA.2.75,0.462
imprinted_2022,BD55-1034,BA.2.75,10.0
imprinted_2022,BD55-1035,BA.2.75,0.00671
imprinted_2022,BD55-1038,BA.2.75,10.0
imprinted_2022,BD55-1039,BA.2.75,0.699
imprinted_2022,BD55-1041,BA.2.75,1.47
imprinted_2022,BD55-1049,BA.2.75,10.0
imprinted_2022,BD55-1051,BA.2.75,10.0
imprinted_2022,BD55-1064,BA.2.75,10.0
imprinted_2022,BD55-1065,BA.2.75,10.0
imprinted_2022,BD55-1070,BA.2.75,10.0
imprinted_2022,BD55-1075,BA.2.75,10.0
imprinted_2022,BD55-1087,BA.2.75,10.0
imprinted_2022,BD55-1092,BA.2.75,10.0
imprinted_2022,BD55-1093,BA.2.75,10.0
imprinted_2022,BD55-1104,BA.2.75,0.242
imprinted_2022,BD55-1117,BA.2.75,10.0
imprinted_2022,BD55-1128,BA.2.75,10.0
imprinted_2022,BD55-1129,BA.2.75,10.0
imprinted_2022,BD55-1132,BA.2.75,10.0
imprinted_2022,BD55-1136,BA.2.75,10.0
imprinted_2022,BD55-1140,BA.2.75,10.0
imprinted_2022,BD55-1141,BA.2.75,10.0
imprinted_2022,BD55-1144,BA.2.75,10.0
imprinted_2022,BD55-1145,BA.2.75,10.0
imprinted_2022,BD55-1146,BA.2.75,10.0
imprinted_2022,BD55-1162,BA.2.75,10.0
imprinted_2022,BD55-1179,BA.2.75,10.0
imprinted_2022,BD55-1180,BA.2.75,10.0
imprinted_2022,BD55-1192,BA.2.75,10.0
imprinted_2022,BD55-1211,BA.2.75,10.0
imprinted_2022,BD55-1214,BA.2.75,10.0
imprinted_2022,BD55-1223,BA.2.75,10.0
imprinted_2022,BD55-1226,BA.2.75,10.0
imprinted_2022,BD55-1239,BA.2.75,10.0
imprinted_2022,BD55-1241,BA.2.75,10.0
imprinted_2022,BD55-1242,BA.2.75,10.0
imprinted_2022,BD55-1244,BA.2.75,10.0
imprinted_2022,BD55-1245,BA.2.75,10.0
imprinted_2022,BD55-1249,BA.2.75,10.0
imprinted_2022,BD55-1256,BA.2.75,0.0598
imprinted_2022,BD55-1257,BA.2.75,10.0
imprinted_2022,BD55-1263,BA.2.75,10.0
imprinted_2022,BD55-1266,BA.2.75,1.74
imprinted_2022,BD55-1268,BA.2.75,0.00815
imprinted_2022,BD55-1273,BA.2.75,10.0
imprinted_2022,BD55-1275,BA.2.75,10.0
imprinted_2022,BD55-1278,BA.2.75,10.0
imprinted_2022,BD55-1297,BA.2.75,10.0
imprinted_2022,BD55-1332,BA.2.75,10.0
imprinted_2022,BD55-1334,BA.2.75,10.0
imprinted_2022,BD55-1338,BA.2.75,5.99
imprinted_2022,BD55-1341,BA.2.75,10.0
imprinted_2022,BD55-1343,BA.2.75,10.0
imprinted_2022,BD55-1354,BA.2.75,0.618
imprinted_2022,BD55-1374,BA.2.75,10.0
imprinted_2022,BD55-1391,BA.2.75,10.0
imprinted_2022,BD55-1396,BA.2.75,10.0
imprinted_2022,BD55-1398,BA.2.75,10.0
imprinted_2022,BD55-1403,BA.2.75,10.0
imprinted_2022,BD55-1405,BA.2.75,10.0
imprinted_2022,BD55-1421,BA.2.75,2.12
imprinted_2022,BD55-1429,BA.2.75,10.0
imprinted_2022,BD55-1432,BA.2.75,10.0
imprinted_2022,BD55-1435,BA.2.75,10.0
imprinted_2022,BD55-1445,BA.2.75,10.0
imprinted_2022,BD55-1450,BA.2.75,10.0
imprinted_2022,BD55-1453,BA.2.75,1.31
imprinted_2022,BD55-1458,BA.2.75,10.0
imprinted_2022,BD55-1464,BA.2.75,10.0
imprinted_2022,BD55-1499,BA.2.75,10.0
imprinted_2022,BD55-1508,BA.2.75,10.0
imprinted_2022,BD55-1558,BA.2.75,10.0
imprinted_2022,BD55-1579,BA.2.75,10.0
imprinted_2022,BD55-1604,BA.2.75,10.0
imprinted_2022,BD55-1694,BA.2.75,10.0
imprinted_2022,BD55-1706,BA.2.75,0.0962
imprinted_2022,BD-807,BA.2.75,10.0
imprinted_2022,BD55-1789,BA.2.75,10.0
imprinted_2022,BD-809,BA.2.75,3.96
imprinted_2022,BD55-1809,BA.2.75,10.0
imprinted_2022,BD55-1831,BA.2.75,4.27
imprinted_2022,BD-815,BA.2.75,3.49
imprinted_2022,BD55-1868,BA.2.75,10.0
imprinted_2022,BD-817,BA.2.75,10.0
imprinted_2022,BD-819,BA.2.75,10.0
imprinted_2022,BD-821,BA.2.75,10.0
imprinted_2022,BD-822,BA.2.75,10.0
imprinted_2022,BD-824,BA.2.75,10.0
imprinted_2022,BD55-1962,BA.2.75,1.79
imprinted_2022,BD-827,BA.2.75,0.032
imprinted_2022,BD-828,BA.2.75,10.0
imprinted_2022,BD-833,BA.2.75,10.0
imprinted_2022,BD-835,BA.2.75,10.0
imprinted_2022,BD-837,BA.2.75,0.00031
imprinted_2022,BD-843,BA.2.75,10.0
imprinted_2022,BD-846,BA.2.75,10.0
imprinted_2022,BD-849,BA.2.75,10.0
imprinted_2022,BD-863,BA.2.75,10.0
imprinted_2022,BD-864,BA.2.75,0.111
imprinted_2022,BD-870,BA.2.75,10.0
imprinted_2022,BD-898,BA.2.75,0.000528
imprinted_2022,BD-899,BA.2.75,10.0
imprinted_2022,BD-900,BA.2.75,10.0
imprinted_2022,BD-904,BA.2.75,0.214
imprinted_2022,BD-906,BA.2.75,10.0
imprinted_2022,BD-907,BA.2.75,10.0
imprinted_2022,BD-912,BA.2.75,0.0885
imprinted_2022,BD-913,BA.2.75,10.0
imprinted_2022,BD55-547,BA.2.75,10.0
imprinted_2022,BD55-556,BA.2.75,10.0
imprinted_2022,BD55-557,BA.2.75,10.0
imprinted_2022,BD55-583,BA.2.75,10.0
imprinted_2022,BD55-587,BA.2.75,10.0
imprinted_2022,BD55-593,BA.2.75,10.0
imprinted_2022,BD55-598,BA.2.75,10.0
imprinted_2022,BD55-599,BA.2.75,10.0
imprinted_2022,BD55-600,BA.2.75,10.0
imprinted_2022,BD55-603,BA.2.75,10.0
imprinted_2022,BD55-606,BA.2.75,10.0
imprinted_2022,BD55-616,BA.2.75,0.00584
imprinted_2022,BD55-632,BA.2.75,10.0
imprinted_2022,BD55-659,BA.2.75,10.0
imprinted_2022,BD55-676,BA.2.75,10.0
imprinted_2022,BD55-682,BA.2.75,10.0
imprinted_2022,BD55-683,BA.2.75,10.0
imprinted_2022,BD55-688,BA.2.75,10.0
imprinted_2022,BD55-696,BA.2.75,10.0
imprinted_2022,BD55-711,BA.2.75,10.0
imprinted_2022,BD55-725,BA.2.75,10.0
imprinted_2022,BD55-742,BA.2.75,10.0
imprinted_2022,BD55-745,BA.2.75,10.0
imprinted_2022,BD55-746,BA.2.75,1.82
imprinted_2022,BD55-747,BA.2.75,10.0
imprinted_2022,BD55-749,BA.2.75,5.33
imprinted_2022,BD55-958,BA.2.75,10.0
imprinted_2022,BD55-965,BA.2.75,0.0463
imprinted_2022,BD55-970,BA.2.75,10.0
imprinted_2022,BD55-972,BA.2.75,10.0
imprinted_2022,BD55-977,BA.2.75,10.0
imprinted_2022,BD55-979,BA.2.75,10.0
imprinted_2022,BD55-988,BA.2.75,10.0
imprinted_2022,BD55-998,BA.2.75,10.0
imprinted_2022,WIBP-2B11,BA.2.75,10.0
imprinted_2022,BD-732,BA.2.75,10.0
imprinted_2022,BD-739,BA.2.75,10.0
imprinted_2022,BD-743,BA.2.75,6.09
imprinted_2022,BD-744,BA.2.75,0.126
imprinted_2022,BD-748,BA.2.75,0.244
imprinted_2022,BD-751,BA.2.75,10.0
imprinted_2022,BD-758,BA.2.75,10.0
imprinted_2022,BD-643,BA.2.75,10.0
imprinted_2022,BD-767,BA.2.75,10.0
imprinted_2022,BD-771,BA.2.75,10.0
imprinted_2022,BD-778,BA.2.75,3.84
imprinted_2022,BD-790,BA.2.75,10.0
imprinted_2022,BD-791,BA.2.75,10.0
imprinted_2022,BD-796,BA.2.75,2.03
imprinted_2022,BD-801,BA.2.75,10.0
imprinted_2022,BD-804,BA.2.75,0.264
imprinted_2022,BD-805,BA.2.75,10.0
imprinted_2022,BD-915,BA.2.75,10.0
imprinted_2022,BD-916,BA.2.75,10.0
imprinted_2022,BD-917,BA.2.75,2.81
imprinted_2022,BD-918,BA.2.75,10.0
imprinted_2022,BD-922,BA.2.75,10.0
imprinted_2022,BD55-300,BA.2.75,10.0
imprinted_2022,BD55-311,BA.2.75,1.12
imprinted_2022,BD55-316,BA.2.75,10.0
imprinted_2022,BD55-319,BA.2.75,10.0
imprinted_2022,BD-667,BA.2.75,1.25
imprinted_2022,BD55-387,BA.2.75,1.13
imprinted_2022,BD55-389,BA.2.75,10.0
imprinted_2022,BD-670,BA.2.75,10.0
imprinted_2022,BD-692,BA.2.75,2.18
imprinted_2022,BD-693,BA.2.75,10.0
imprinted_2022,BD-694,BA.2.75,10.0
imprinted_2022,BD-695,BA.2.75,10.0
imprinted_2022,BD-702,BA.2.75,10.0
imprinted_2022,BD-708,BA.2.75,10.0
imprinted_2022,BD55-81,BA.2.75,10.0
imprinted_2022,BD55-814,BA.2.75,10.0
imprinted_2022,BD55-818,BA.2.75,10.0
imprinted_2022,BD55-822,BA.2.75,10.0
imprinted_2022,BD55-824,BA.2.75,10.0
imprinted_2022,BD55-828,BA.2.75,10.0
imprinted_2022,BD55-829,BA.2.75,10.0
imprinted_2022,BD-713,BA.2.75,0.146
imprinted_2022,BD55-833,BA.2.75,10.0
imprinted_2022,BD55-837,BA.2.75,10.0
imprinted_2022,BD55-839,BA.2.75,10.0
imprinted_2022,BD55-842,BA.2.75,10.0
imprinted_2022,BD55-846,BA.2.75,10.0
imprinted_2022,BD55-847,BA.2.75,10.0
imprinted_2022,BD-715,BA.2.75,10.0
imprinted_2022,BD55-852,BA.2.75,10.0
imprinted_2022,BD55-853,BA.2.75,10.0
imprinted_2022,BD55-854,BA.2.75,10.0
imprinted_2022,BD55-856,BA.2.75,10.0
imprinted_2022,BD55-859,BA.2.75,10.0
imprinted_2022,BD55-862,BA.2.75,10.0
imprinted_2022,BD55-863,BA.2.75,10.0
imprinted_2022,BD55-864,BA.2.75,10.0
imprinted_2022,BD55-867,BA.2.75,10.0
imprinted_2022,BD55-868,BA.2.75,10.0
imprinted_2022,BD55-870,BA.2.75,10.0
imprinted_2022,BD55-871,BA.2.75,10.0
imprinted_2022,BD55-873,BA.2.75,10.0
imprinted_2022,BD55-874,BA.2.75,10.0
imprinted_2022,BD55-875,BA.2.75,10.0
imprinted_2022,BD55-876,BA.2.75,10.0
imprinted_2022,BD55-878,BA.2.75,10.0
imprinted_2022,BD55-879,BA.2.75,10.0
imprinted_2022,BD55-880,BA.2.75,0.951
imprinted_2022,BD55-887,BA.2.75,0.21
imprinted_2022,BD55-888,BA.2.75,10.0
imprinted_2022,BD55-892,BA.2.75,0.412
imprinted_2022,BD55-893,BA.2.75,10.0
imprinted_2022,BD55-898,BA.2.75,10.0
imprinted_2022,BD55-899,BA.2.75,10.0
imprinted_2022,BD55-902,BA.2.75,10.0
imprinted_2022,BD55-903,BA.2.75,10.0
imprinted_2022,BD55-905,BA.2.75,10.0
imprinted_2022,BD55-906,BA.2.75,10.0
imprinted_2022,BD55-910,BA.2.75,10.0
imprinted_2022,BD55-911,BA.2.75,10.0
imprinted_2022,BD55-913,BA.2.75,10.0
imprinted_2022,BD55-914,BA.2.75,10.0
imprinted_2022,BD55-917,BA.2.75,10.0
imprinted_2022,BD55-918,BA.2.75,10.0
imprinted_2022,BD55-920,BA.2.75,10.0
imprinted_2022,BD55-925,BA.2.75,10.0
imprinted_2022,BD55-929,BA.2.75,10.0
imprinted_2022,BD55-93,BA.2.75,10.0
imprinted_2022,BD55-930,BA.2.75,10.0
imprinted_2022,BD55-931,BA.2.75,10.0
imprinted_2022,BD55-934,BA.2.75,10.0
imprinted_2022,BD55-935,BA.2.75,10.0
imprinted_2022,BD55-936,BA.2.75,10.0
imprinted_2022,BD55-939,BA.2.75,1.5
imprinted_2022,BD55-942,BA.2.75,10.0
imprinted_2022,BD55-944,BA.2.75,10.0
imprinted_2022,BD55-947,BA.2.75,10.0
imprinted_2022,BD55-948,BA.2.75,10.0
imprinted_2022,BD-725,BA.2.75,0.639
imprinted_2022,BD55-97,BA.2.75,10.0
imprinted_2022,XG2v-004,BA.2.75,10.0
imprinted_2022,XG2v-006,BA.2.75,0.818
imprinted_2022,XG2v-032,BA.2.75,0.0407
imprinted_2022,XG2v-033,BA.2.75,1.82
imprinted_2022,XG2v-039,BA.2.75,10.0
imprinted_2022,XG2v-045,BA.2.75,10.0
imprinted_2022,XG2v-052,BA.2.75,0.0274
imprinted_2022,XG2v-070,BA.2.75,10.0
imprinted_2022,XG2v-083,BA.2.75,10.0
imprinted_2022,XG2v-095,BA.2.75,2.94
imprinted_2022,XG2v-098,BA.2.75,10.0
imprinted_2022,XG2v-126,BA.2.75,0.234
imprinted_2022,XGv-003,BA.2.75,10.0
imprinted_2022,XGv-008,BA.2.75,10.0
imprinted_2022,XGv-010,BA.2.75,10.0
imprinted_2022,XGv-011,BA.2.75,0.794
imprinted_2022,XGv-014,BA.2.75,10.0
imprinted_2022,XGv-016,BA.2.75,0.0615
imprinted_2022,XGv-018,BA.2.75,5.35
imprinted_2022,XGv-023,BA.2.75,10.0
imprinted_2022,XGv-024,BA.2.75,10.0
imprinted_2022,XGv-032,BA.2.75,10.0
imprinted_2022,XGv-038,BA.2.75,1.2
imprinted_2022,XGv-039,BA.2.75,10.0
imprinted_2022,XGv-040,BA.2.75,10.0
imprinted_2022,XGv-047,BA.2.75,0.242
imprinted_2022,XGv-049,BA.2.75,10.0
imprinted_2022,XGv-050,BA.2.75,0.0708
imprinted_2022,XGv-056,BA.2.75,10.0
imprinted_2022,XGv-057,BA.2.75,10.0
imprinted_2022,XGv-072,BA.2.75,1.55
imprinted_2022,XGv-073,BA.2.75,10.0
imprinted_2022,XGv-080,BA.2.75,0.282
imprinted_2022,XGv-094,BA.2.75,10.0
imprinted_2022,XGv-097,BA.2.75,1.79
imprinted_2022,XGv-107,BA.2.75,0.678
imprinted_2022,XGv-116,BA.2.75,10.0
imprinted_2022,XGv-152,BA.2.75,1.86
imprinted_2022,XGv-155,BA.2.75,1.78
imprinted_2022,XGv-172,BA.2.75,10.0
imprinted_2022,XGv-174,BA.2.75,1.54
imprinted_2022,XGv-175,BA.2.75,0.241
imprinted_2022,XGv-179,BA.2.75,1.5
imprinted_2022,XGv-19,BA.2.75,10.0
imprinted_2022,XGv-191,BA.2.75,10.0
imprinted_2022,XGv-198,BA.2.75,0.421
imprinted_2022,XGv-199,BA.2.75,0.664
imprinted_2022,XGv-20,BA.2.75,5.09
imprinted_2022,XGv-208,BA.2.75,10.0
imprinted_2022,XGv-212,BA.2.75,0.251
imprinted_2022,XGv-214,BA.2.75,2.15
imprinted_2022,XGv-225,BA.2.75,10.0
imprinted_2022,XGv-227,BA.2.75,0.785
imprinted_2022,XGv-232,BA.2.75,10.0
imprinted_2022,XGv-233,BA.2.75,1.07
imprinted_2022,XGv-236,BA.2.75,10.0
imprinted_2022,XGv-250,BA.2.75,10.0
imprinted_2022,XGv-251,BA.2.75,0.24
imprinted_2022,XGv-252,BA.2.75,4.81
imprinted_2022,XGv-253,BA.2.75,0.0316
imprinted_2022,XGv-261,BA.2.75,0.0345
imprinted_2022,XGv-263,BA.2.75,2.61
imprinted_2022,XGv-264,BA.2.75,0.00348
imprinted_2022,XGv-265,BA.2.75,10.0
imprinted_2022,XGv-266,BA.2.75,10.0
imprinted_2022,XGv-279,BA.2.75,4.46
imprinted_2022,XGv-282,BA.2.75,0.0276
imprinted_2022,XGv-284,BA.2.75,0.672
imprinted_2022,XGv-285,BA.2.75,10.0
imprinted_2022,XGv-286,BA.2.75,0.00309
imprinted_2022,XGv-287,BA.2.75,10.0
imprinted_2022,XGv-288,BA.2.75,0.0678
imprinted_2022,XGv-289,BA.2.75,0.0168
imprinted_2022,XGv-290,BA.2.75,0.236
imprinted_2022,XGv-291,BA.2.75,0.022
imprinted_2022,XGv-292,BA.2.75,1.36
imprinted_2022,XGv-293,BA.2.75,0.00307
imprinted_2022,XGv-294,BA.2.75,10.0
imprinted_2022,XGv-295,BA.2.75,0.122
imprinted_2022,XGv-296,BA.2.75,0.152
imprinted_2022,XGv-297,BA.2.75,0.0286
imprinted_2022,XGv-298,BA.2.75,10.0
imprinted_2022,XGv-300,BA.2.75,10.0
imprinted_2022,XGv-305,BA.2.75,10.0
imprinted_2022,XGv-306,BA.2.75,10.0
imprinted_2022,XGv-311,BA.2.75,10.0
imprinted_2022,XGv-318,BA.2.75,10.0
imprinted_2022,XGv-324,BA.2.75,10.0
imprinted_2022,XGv-337,BA.2.75,0.0141
imprinted_2022,XGv-343,BA.2.75,0.585
imprinted_2022,XGv-345,BA.2.75,0.0533
imprinted_2022,XGv-346,BA.2.75,0.924
imprinted_2022,XGv-347,BA.2.75,0.00643
imprinted_2022,XGv-360,BA.2.75,10.0
imprinted_2022,XGv-401,BA.2.75,1.63
imprinted_2022,XGv-402,BA.2.75,0.146
imprinted_2022,XGv-404,BA.2.75,10.0
imprinted_2022,XGv-409,BA.2.75,0.0946
imprinted_2022,XGv-412,BA.2.75,10.0
imprinted_2022,XGv-418,BA.2.75,0.711
imprinted_2022,XGv-420,BA.2.75,10.0
imprinted_2022,XGv-421,BA.2.75,10.0
imprinted_2022,XGv-422,BA.2.75,0.495
imprinted_2022,BD57-001,BA.2.75,10.0
imprinted_2022,BD57-002,BA.2.75,0.465
imprinted_2022,BD57-003,BA.2.75,0.0641
imprinted_2022,BD57-005,BA.2.75,0.00485
imprinted_2022,BD57-006,BA.2.75,0.00283
imprinted_2022,BD57-012,BA.2.75,0.000932
imprinted_2022,BD57-013,BA.2.75,0.0384
imprinted_2022,BD57-014,BA.2.75,10.0
imprinted_2022,BD57-015,BA.2.75,0.00288
imprinted_2022,BD57-017,BA.2.75,0.0109
imprinted_2022,BD57-018,BA.2.75,10.0
imprinted_2022,BD57-020,BA.2.75,1.15
imprinted_2022,BD57-022,BA.2.75,0.00108
imprinted_2022,BD57-023,BA.2.75,0.0286
imprinted_2022,BD57-024,BA.2.75,0.00806
imprinted_2022,BD57-025,BA.2.75,10.0
imprinted_2022,BD57-026,BA.2.75,0.373
imprinted_2022,BD57-027,BA.2.75,0.0298
imprinted_2022,BD57-028,BA.2.75,0.00736
imprinted_2022,BD57-029,BA.2.75,0.00618
imprinted_2022,BD57-030,BA.2.75,2.09
imprinted_2022,BD57-031,BA.2.75,0.000972
imprinted_2022,BD57-034,BA.2.75,0.0251
imprinted_2022,BD57-037,BA.2.75,0.136
imprinted_2022,BD57-038,BA.2.75,0.00299
imprinted_2022,BD57-039,BA.2.75,0.276
imprinted_2022,BD57-041,BA.2.75,0.0231
imprinted_2022,BD57-042,BA.2.75,0.00337
imprinted_2022,BD57-043,BA.2.75,0.00216
imprinted_2022,BD57-045,BA.2.75,0.00109
imprinted_2022,BD57-046,BA.2.75,0.0142
imprinted_2022,BD57-047,BA.2.75,0.00641
imprinted_2022,BD57-049,BA.2.75,0.00839
imprinted_2022,BD57-051,BA.2.75,1.02
imprinted_2022,BD57-052,BA.2.75,0.125
imprinted_2022,BD57-053,BA.2.75,0.0166
imprinted_2022,BD57-054,BA.2.75,0.00634
imprinted_2022,BD57-056,BA.2.75,0.00105
imprinted_2022,BD57-057,BA.2.75,4.94
imprinted_2022,BD57-058,BA.2.75,0.0252
imprinted_2022,BD57-059,BA.2.75,0.00975
imprinted_2022,BD57-060,BA.2.75,0.0704
imprinted_2022,BD57-061,BA.2.75,0.343
imprinted_2022,BD57-062,BA.2.75,0.00139
imprinted_2022,BD57-063,BA.2.75,4.82
imprinted_2022,BD57-064,BA.2.75,10.0
imprinted_2022,BD57-065,BA.2.75,0.0337
imprinted_2022,BD57-066,BA.2.75,1.05
imprinted_2022,BD57-067,BA.2.75,0.00355
imprinted_2022,BD57-068,BA.2.75,0.095
imprinted_2022,BD57-069,BA.2.75,0.232
imprinted_2022,BD57-071,BA.2.75,0.15
imprinted_2022,BD57-072,BA.2.75,10.0
imprinted_2022,BD57-073,BA.2.75,0.55
imprinted_2022,BD57-074,BA.2.75,10.0
imprinted_2022,BD57-075,BA.2.75,10.0
imprinted_2022,BD57-076,BA.2.75,10.0
imprinted_2022,BD57-077,BA.2.75,0.00468
imprinted_2022,BD57-078,BA.2.75,0.0385
imprinted_2022,BD57-079,BA.2.75,0.000817
imprinted_2022,BD57-082,BA.2.75,0.00438
imprinted_2022,BD57-083,BA.2.75,10.0
imprinted_2022,BD57-085,BA.2.75,0.011
imprinted_2022,BD57-088,BA.2.75,5.38
imprinted_2022,BD57-089,BA.2.75,0.0125
imprinted_2022,BD57-090,BA.2.75,10.0
imprinted_2022,BD57-091,BA.2.75,10.0
imprinted_2022,BD57-092,BA.2.75,7.66
imprinted_2022,BD57-093,BA.2.75,10.0
imprinted_2022,BD57-097,BA.2.75,4.5
imprinted_2022,BD57-098,BA.2.75,0.00154
imprinted_2022,BD57-099,BA.2.75,0.131
imprinted_2022,BD57-100,BA.2.75,0.613
imprinted_2022,BD56-003,BA.2.75,0.0152
imprinted_2022,BD56-005,BA.2.75,0.00229
imprinted_2022,BD56-007,BA.2.75,0.541
imprinted_2022,BD56-008,BA.2.75,10.0
imprinted_2022,BD56-010,BA.2.75,0.535
imprinted_2022,BD56-012,BA.2.75,0.00433
imprinted_2022,BD56-016,BA.2.75,0.00485
imprinted_2022,BD56-019,BA.2.75,10.0
imprinted_2022,BD56-021,BA.2.75,0.00192
imprinted_2022,BD56-022,BA.2.75,0.00418
imprinted_2022,BD56-027,BA.2.75,0.00483
imprinted_2022,BD56-028,BA.2.75,0.00325
imprinted_2022,BD56-031,BA.2.75,0.00834
imprinted_2022,BD56-033,BA.2.75,10.0
imprinted_2022,BD56-037,BA.2.75,10.0
