study,antibody,virus,IC50
imprinted_2022,BD55-1831,D614G,1.42
imprinted_2022,BD-815,D614G,0.26
imprinted_2022,BD55-1868,D614G,0.34
imprinted_2022,BD-817,D614G,1.55
imprinted_2022,BD-819,D614G,4.18
imprinted_2022,BD-821,D614G,10.0
imprinted_2022,BD-822,D614G,0.003
imprinted_2022,BD-824,D614G,0.029
imprinted_2022,BD55-1962,D614G,0.0269
imprinted_2022,BD-827,D614G,0.012
imprinted_2022,BD-828,D614G,10.0
imprinted_2022,BD-833,D614G,0.04
imprinted_2022,BD-835,D614G,0.005
imprinted_2022,BD-837,D614G,0.017
imprinted_2022,BD-843,D614G,3.84
imprinted_2022,BD-846,D614G,10.0
imprinted_2022,BD-849,D614G,10.0
imprinted_2022,BD-863,D614G,10.0
imprinted_2022,BD-864,D614G,0.016
imprinted_2022,BD-870,D614G,0.007
imprinted_2022,BD-898,D614G,0.005
imprinted_2022,BD-899,D614G,0.052
imprinted_2022,BD-900,D614G,0.009
imprinted_2022,BD-904,D614G,0.002
imprinted_2022,BD-906,D614G,0.017
imprinted_2022,BD-907,D614G,0.063
imprinted_2022,BD-912,D614G,0.014
imprinted_2022,BD-913,D614G,0.328
imprinted_2022,BD55-547,D614G,1.92
imprinted_2022,BD55-556,D614G,0.0152
imprinted_2022,BD55-557,D614G,10.0
imprinted_2022,BD55-583,D614G,10.0
imprinted_2022,BD55-587,D614G,10.0
imprinted_2022,BD55-593,D614G,10.0
imprinted_2022,BD55-598,D614G,10.0
imprinted_2022,BD55-599,D614G,10.0
imprinted_2022,BD55-600,D614G,0.0655
imprinted_2022,BD55-603,D614G,10.0
imprinted_2022,BD55-606,D614G,0.142
imprinted_2022,BD55-616,D614G,0.00686
imprinted_2022,BD55-632,D614G,0.662
imprinted_2022,BD55-659,D614G,0.0731
imprinted_2022,BD55-676,D614G,1.57
imprinted_2022,BD55-682,D614G,10.0
imprinted_2022,BD55-683,D614G,2.89
imprinted_2022,BD55-688,D614G,1.33
imprinted_2022,BD55-696,D614G,10.0
imprinted_2022,BD55-711,D614G,4.0
imprinted_2022,BD55-725,D614G,0.768
imprinted_2022,BD55-742,D614G,10.0
imprinted_2022,BD55-745,D614G,10.0
imprinted_2022,BD55-746,D614G,0.808
imprinted_2022,BD55-747,D614G,0.305
imprinted_2022,BD55-749,D614G,1.04
imprinted_2022,BD55-958,D614G,10.0
imprinted_2022,BD55-965,D614G,0.00165
imprinted_2022,BD55-970,D614G,10.0
imprinted_2022,BD55-972,D614G,0.013
imprinted_2022,BD55-977,D614G,1.53
imprinted_2022,BD55-979,D614G,10.0
imprinted_2022,BD55-988,D614G,10.0
imprinted_2022,BD55-998,D614G,10.0
imprinted_2022,WIBP-2B11,D614G,0.005
imprinted_2022,BD-732,D614G,10.0
imprinted_2022,BD-739,D614G,0.469
imprinted_2022,BD-743,D614G,0.954
imprinted_2022,BD-744,D614G,0.0523
imprinted_2022,BD-748,D614G,0.188
imprinted_2022,BD-751,D614G,0.473
imprinted_2022,BD-758,D614G,0.926
imprinted_2022,BD-643,D614G,0.588
imprinted_2022,BD-767,D614G,0.003
imprinted_2022,BD-771,D614G,0.002
imprinted_2022,BD-778,D614G,0.775
imprinted_2022,BD-790,D614G,0.004
imprinted_2022,BD-791,D614G,0.104
imprinted_2022,BD-796,D614G,0.25
imprinted_2022,BD-801,D614G,0.103
imprinted_2022,BD-804,D614G,0.135
imprinted_2022,BD-805,D614G,0.448
imprinted_2022,BD-915,D614G,0.008
imprinted_2022,BD-916,D614G,1.69
imprinted_2022,BD-917,D614G,1.05
imprinted_2022,BD-918,D614G,0.005
imprinted_2022,BD-922,D614G,0.039
imprinted_2022,BD55-300,D614G,0.005
imprinted_2022,BD55-311,D614G,0.469
imprinted_2022,BD55-316,D614G,0.23
imprinted_2022,BD55-319,D614G,10.0
imprinted_2022,BD-667,D614G,1.11
imprinted_2022,BD55-387,D614G,0.535
imprinted_2022,BD55-389,D614G,10.0
imprinted_2022,BD-670,D614G,0.493
imprinted_2022,BD-692,D614G,0.314
imprinted_2022,BD-693,D614G,0.272
imprinted_2022,BD-694,D614G,0.394
imprinted_2022,BD-695,D614G,10.0
imprinted_2022,BD-702,D614G,0.476
imprinted_2022,BD-708,D614G,0.468
imprinted_2022,BD55-81,D614G,10.0
imprinted_2022,BD55-814,D614G,10.0
imprinted_2022,BD55-818,D614G,10.0
imprinted_2022,BD55-822,D614G,0.123
imprinted_2022,BD55-824,D614G,10.0
imprinted_2022,BD55-828,D614G,10.0
imprinted_2022,BD55-829,D614G,10.0
imprinted_2022,BD-713,D614G,0.104
imprinted_2022,BD55-833,D614G,10.0
imprinted_2022,BD55-837,D614G,10.0
imprinted_2022,BD55-839,D614G,10.0
imprinted_2022,BD55-842,D614G,10.0
imprinted_2022,BD55-846,D614G,10.0
imprinted_2022,BD55-847,D614G,10.0
imprinted_2022,BD-715,D614G,0.006
imprinted_2022,BD55-852,D614G,10.0
imprinted_2022,BD55-853,D614G,0.0086
imprinted_2022,BD55-854,D614G,0.001
imprinted_2022,BD55-856,D614G,10.0
imprinted_2022,BD55-859,D614G,10.0
imprinted_2022,BD55-862,D614G,10.0
imprinted_2022,BD55-863,D614G,10.0
imprinted_2022,BD55-864,D614G,10.0
imprinted_2022,BD55-867,D614G,10.0
imprinted_2022,BD55-868,D614G,10.0
imprinted_2022,BD55-870,D614G,10.0
imprinted_2022,BD55-871,D614G,2.43
imprinted_2022,BD55-873,D614G,10.0
imprinted_2022,BD55-874,D614G,10.0
imprinted_2022,BD55-875,D614G,10.0
imprinted_2022,BD55-876,D614G,10.0
imprinted_2022,BD55-878,D614G,10.0
imprinted_2022,BD55-879,D614G,1.38
imprinted_2022,BD55-880,D614G,1.01
imprinted_2022,BD55-887,D614G,0.22
imprinted_2022,BD55-888,D614G,10.0
imprinted_2022,BD55-892,D614G,0.0437
imprinted_2022,BD55-893,D614G,10.0
imprinted_2022,BD55-898,D614G,10.0
imprinted_2022,BD55-899,D614G,10.0
imprinted_2022,BD55-902,D614G,10.0
imprinted_2022,BD55-903,D614G,0.0137
imprinted_2022,BD55-905,D614G,10.0
imprinted_2022,BD55-906,D614G,0.00367
imprinted_2022,BD55-910,D614G,10.0
imprinted_2022,BD55-911,D614G,10.0
imprinted_2022,BD55-913,D614G,4.18
imprinted_2022,BD55-914,D614G,10.0
imprinted_2022,BD55-917,D614G,0.0793
imprinted_2022,BD55-918,D614G,10.0
imprinted_2022,BD55-920,D614G,10.0
imprinted_2022,BD55-925,D614G,10.0
imprinted_2022,BD55-929,D614G,10.0
imprinted_2022,BD55-93,D614G,10.0
imprinted_2022,BD55-930,D614G,10.0
imprinted_2022,BD55-931,D614G,10.0
imprinted_2022,BD55-934,D614G,10.0
imprinted_2022,BD55-935,D614G,10.0
imprinted_2022,BD55-936,D614G,10.0
imprinted_2022,BD55-939,D614G,0.259
imprinted_2022,BD55-942,D614G,10.0
imprinted_2022,BD55-944,D614G,10.0
imprinted_2022,BD55-947,D614G,10.0
imprinted_2022,BD55-948,D614G,0.162
imprinted_2022,BD-725,D614G,0.006
imprinted_2022,BD55-97,D614G,10.0
imprinted_2022,XG2v-004,D614G,10.0
imprinted_2022,XG2v-006,D614G,0.843
imprinted_2022,XG2v-032,D614G,3.18
imprinted_2022,XG2v-033,D614G,0.148
imprinted_2022,XG2v-039,D614G,2.49
imprinted_2022,XG2v-045,D614G,0.00266
imprinted_2022,XG2v-052,D614G,0.0363
imprinted_2022,XG2v-070,D614G,7.1
imprinted_2022,XG2v-083,D614G,1.8
imprinted_2022,XG2v-095,D614G,0.55
imprinted_2022,XG2v-098,D614G,0.0935
imprinted_2022,XG2v-126,D614G,0.0035
imprinted_2022,XGv-003,D614G,0.561
imprinted_2022,XGv-008,D614G,1.48
imprinted_2022,XGv-010,D614G,0.00623
imprinted_2022,XGv-011,D614G,0.0254
imprinted_2022,XGv-014,D614G,9.53
imprinted_2022,XGv-016,D614G,0.00262
imprinted_2022,XGv-018,D614G,1.37
imprinted_2022,XGv-023,D614G,10.0
imprinted_2022,XGv-024,D614G,10.0
imprinted_2022,XGv-032,D614G,10.0
imprinted_2022,XGv-038,D614G,2.52
imprinted_2022,XGv-039,D614G,10.0
imprinted_2022,XGv-040,D614G,0.223
imprinted_2022,XGv-047,D614G,0.168
imprinted_2022,XGv-049,D614G,7.34
imprinted_2022,XGv-050,D614G,0.00917
imprinted_2022,XGv-056,D614G,0.769
imprinted_2022,XGv-057,D614G,0.465
imprinted_2022,XGv-072,D614G,2.15
imprinted_2022,XGv-073,D614G,0.49
imprinted_2022,XGv-080,D614G,10.0
imprinted_2022,XGv-094,D614G,0.0767
imprinted_2022,XGv-097,D614G,0.0551
imprinted_2022,XGv-107,D614G,0.0291
imprinted_2022,XGv-116,D614G,0.063
imprinted_2022,XGv-152,D614G,0.0358
imprinted_2022,XGv-155,D614G,0.0255
imprinted_2022,XGv-172,D614G,0.00944
imprinted_2022,XGv-174,D614G,0.017
imprinted_2022,XGv-175,D614G,0.0251
imprinted_2022,XGv-179,D614G,1.12
imprinted_2022,XGv-19,D614G,6.23
imprinted_2022,XGv-191,D614G,0.017
imprinted_2022,XGv-198,D614G,0.0938
imprinted_2022,XGv-199,D614G,0.182
imprinted_2022,XGv-20,D614G,2.76
imprinted_2022,XGv-208,D614G,0.00373
imprinted_2022,XGv-212,D614G,0.162
imprinted_2022,XGv-214,D614G,0.134
imprinted_2022,XGv-225,D614G,0.0726
imprinted_2022,XGv-227,D614G,0.291
imprinted_2022,XGv-232,D614G,0.00107
imprinted_2022,XGv-233,D614G,0.26
imprinted_2022,XGv-236,D614G,0.253
imprinted_2022,XGv-250,D614G,0.333
imprinted_2022,XGv-251,D614G,0.302
imprinted_2022,XGv-252,D614G,2.86
imprinted_2022,XGv-253,D614G,0.0111
imprinted_2022,XGv-261,D614G,0.0173
imprinted_2022,XGv-263,D614G,0.00242
imprinted_2022,XGv-264,D614G,0.00167
imprinted_2022,XGv-265,D614G,0.0103
imprinted_2022,XGv-266,D614G,0.016
imprinted_2022,XGv-279,D614G,0.00548
imprinted_2022,XGv-282,D614G,0.00228
imprinted_2022,XGv-284,D614G,0.0215
imprinted_2022,XGv-285,D614G,0.023
imprinted_2022,XGv-286,D614G,0.00131
imprinted_2022,XGv-287,D614G,0.102
imprinted_2022,XGv-288,D614G,0.00923
imprinted_2022,XGv-289,D614G,0.00115
imprinted_2022,XGv-290,D614G,0.0237
imprinted_2022,XGv-291,D614G,0.00243
imprinted_2022,XGv-292,D614G,0.0237
imprinted_2022,XGv-293,D614G,0.00112
imprinted_2022,XGv-294,D614G,0.0185
imprinted_2022,XGv-295,D614G,0.0019
imprinted_2022,XGv-296,D614G,0.0156
imprinted_2022,XGv-297,D614G,0.001
imprinted_2022,XGv-298,D614G,0.0062
imprinted_2022,XGv-300,D614G,0.0732
imprinted_2022,XGv-305,D614G,0.471
imprinted_2022,XGv-306,D614G,0.442
imprinted_2022,XGv-311,D614G,10.0
imprinted_2022,XGv-318,D614G,4.31
imprinted_2022,XGv-324,D614G,0.00272
imprinted_2022,XGv-337,D614G,0.00803
imprinted_2022,XGv-343,D614G,0.0113
imprinted_2022,XGv-345,D614G,0.0769
imprinted_2022,XGv-346,D614G,0.654
imprinted_2022,XGv-347,D614G,0.00457
imprinted_2022,XGv-360,D614G,0.00635
imprinted_2022,XGv-401,D614G,1.03
imprinted_2022,XGv-402,D614G,0.0428
imprinted_2022,XGv-404,D614G,0.169
imprinted_2022,XGv-409,D614G,0.0211
imprinted_2022,XGv-412,D614G,0.0036
imprinted_2022,XGv-418,D614G,1.13
imprinted_2022,XGv-420,D614G,0.0235
